"method","tau","n","model","beta_ci_same","infin","na","skip_beta","skip_int","nsims_beta","nsims_int","bias","bias_se","empSE","empSE_se","cov","cov_se","cov_be","cov_be_se","intwidth_empSE","intwidth_empSE_se","empSE_rel","empSE_rel_se"
"riid_nodith","0.1","n = 500",4,0.093,0,0,0,0,1000,1000,0.0236338386554707,0.0117560637529006,0.371759377773128,0.00831695191583442,0.906,0.00922843432007835,0.909,0.00909499862561837,0.460517728556717,0.010302642068475,0,0
"riid_nodith","0.1","n = 500",5,0.017,0,0,0,0,1000,1000,0.0399422014852489,0.0174550694350508,0.551977761311489,0.0123487738949229,0.918,0.00867617427210864,0.914,0.00886588969026797,0.587721483203138,0.0131484277410385,0,0
"riid_nodith","0.1","n = 500",6,0.104,0,0,0,0,1000,1000,0.0141091161056343,0.013258884577613,0.419282744985367,0.00938013843812289,0.956,0.00648567652600714,0.959,0.00627048642451286,0.85112285348075,0.0190412085614881,0,0
"riid_nodith","0.1","n = 500",7,0.017,0,0,0,0,1000,1000,0.0069364703628053,0.0189087777291009,0.597948053938251,0.0133772152368033,0.979,0.00453420334788814,0.979,0.00453420334788814,1.0562000648,0.0236291689669322,0,0
"riid_nodith","0.1","n = 750",1,NA,0.022,0,0,0.022,1000,978,-0.048,0.0236274047295562,0.747164141440323,0.0167154579255487,0.911042944785276,0.00910311849879573,0.912065439672802,0.00905572802420235,2.60131010136109,0.0588477479850208,0,0
"riid_nodith","0.1","n = 750",2,NA,0.012,0,0,0.012,1000,988,0.0137757827723,0.0234823853648309,0.742578226466695,0.0166128624387738,0.912955465587045,0.00896844352115195,0.912955465587045,0.00896844352115195,2.46498483394692,0.0554805397374469,0,0
"riid_nodith","0.1","n = 750",3,0.087,0,0,0,0,1000,1000,0.017603137029471,0.0344410392582045,1.08912129039202,0.0243656782969706,0.977,0.00474035863622153,0.977,0.00474035863622153,2.31991173786012,0.0519007603475637,0,0
"riid_nodith","0.1","n = 750",4,0.186,0,0,0,0,1000,1000,0.0135463850599996,0.00944818000875609,0.298777685709389,0.00668421509755629,0.883,0.010164201887015,0.885,0.0100883596287999,0.39257599517205,0.00878265854304642,0,0
"riid_nodith","0.1","n = 750",5,0.035,0,0,0,0,1000,1000,0.0159727139661967,0.0140234416119561,0.443460161281645,0.00992103241634546,0.909,0.00909499862561837,0.908,0.00913980306133562,0.478304560214135,0.0107005667274733,0,0
"riid_nodith","0.1","n = 750",6,0.165,0,0,0,0,1000,1000,0.00760911610563427,0.0107868075132283,0.341108804236183,0.00763124131499764,0.93,0.00806845710157772,0.93,0.00806845710157772,0.816911503800223,0.0182758367449838,0,0
"riid_nodith","0.1","n = 750",7,0.029,0,0,0,0,1000,1000,-0.00439686297052798,0.0155410020580138,0.491449636246879,0.0109946466399941,0.977,0.00474035863622153,0.976,0.00483983470792134,0.966241051720806,0.0216166177552929,0,0
"riid_nodith","0.5","n = 100",1,0.031,0,0,0,0,1000,1000,-0.025,0.0388443545947656,1.22836634758686,0.0274808504068019,0.976,0.00483983470792134,0.976,0.00483983470792134,1.77957472864492,0.0398124118278631,0,0
