"method","beta","lb","ub","tau","chemical_name","transformation"
"bayes_adjv2",0.508344032305732,-0.233369408661696,1.25002011278152,0.1,"lead.t1.res","log2x"
"riid_nodith",0.201408876125721,-0.660275096786229,1.31040002729438,0.5,"lead.t1.res","log2x"
"xy_nodith",0.201408876125721,-0.748249040737974,1.15106679298942,0.5,"lead.t1.res","log2x"
"riid_dith",0.248243602637114,-0.67241602455604,1.27122775101658,0.5,"lead.t1.res","log2x"
"xy_dith",0.248243602637114,-0.675976653120215,1.17246385839444,0.5,"lead.t1.res","log2x"
"bayes_unadj",0.298152041709603,-0.222529706763188,0.808521495508022,0.5,"lead.t1.res","log2x"
"bayes_adjv2",0.298152041709603,-0.890656129727414,1.48745247005862,0.5,"lead.t1.res","log2x"
"riid_nodith",0.405659494140261,-1.50293296966983,1.92339440826774,0.9,"lead.t1.res","log2x"
"xy_nodith",0.405659494140261,-1.23269257396597,2.0440115622465,0.9,"lead.t1.res","log2x"
"riid_dith",0.207566261865725,-1.18434091592796,2.04855536647779,0.9,"lead.t1.res","log2x"
"xy_dith",0.207566261865725,-1.41911301724535,1.8342455409768,0.9,"lead.t1.res","log2x"
"bayes_unadj",0.746116710310935,-0.0608200034694827,1.53300282427863,0.9,"lead.t1.res","log2x"
"bayes_adjv2",0.746116710310935,-1.07613003113995,2.56985297356217,0.9,"lead.t1.res","log2x"
"riid_nodith",-0.214572419340262,-0.60727192483452,0.202168244062942,0.1,"mercury.t1.res","log2x"
"xy_nodith",-0.214572419340262,-0.622236953788395,0.193092115107871,0.1,"mercury.t1.res","log2x"
"riid_dith",-0.176140774792584,-0.576667690015554,0.118020802372774,0.1,"mercury.t1.res","log2x"
"xy_dith",-0.176140774792584,-0.539985715859766,0.187704166274599,0.1,"mercury.t1.res","log2x"
"bayes_unadj",-0.180146805896154,-0.473784930481266,0.109451812454315,0.1,"mercury.t1.res","log2x"
"bayes_adjv2",-0.180146805896154,-0.641032460317475,0.279178608444831,0.1,"mercury.t1.res","log2x"
"riid_nodith",1.13872474637358e-15,-0.461356983741975,0.278841559279026,0.5,"mercury.t1.res","log2x"
"xy_nodith",1.13872474637358e-15,-0.375958056306218,0.37595805630622,0.5,"mercury.t1.res","log2x"
"riid_dith",-0.0107907029183676,-0.456533591738771,0.229076560579216,0.5,"mercury.t1.res","log2x"
"xy_dith",-0.0107907029183676,-0.400019798708899,0.378438392872164,0.5,"mercury.t1.res","log2x"
"bayes_unadj",-0.0378182332727058,-0.238215975224548,0.153861137636749,0.5,"mercury.t1.res","log2x"
"bayes_adjv2",-0.0378182332727058,-0.382537035657417,0.307594364141625,0.5,"mercury.t1.res","log2x"
"riid_nodith",-0.191623058781089,-0.794475756454069,0.442926539686844,0.9,"mercury.t1.res","log2x"
"xy_nodith",-0.191623058781089,-0.900390670918472,0.517144553356294,0.9,"mercury.t1.res","log2x"
"riid_dith",-0.340783183070168,-0.907952509673882,0.503662324369589,0.9,"mercury.t1.res","log2x"
"xy_dith",-0.340783183070168,-1.05819997676655,0.37663361062621,0.9,"mercury.t1.res","log2x"
"bayes_unadj",-0.238993741236483,-0.573852042837794,0.100144381586875,0.9,"mercury.t1.res","log2x"
"bayes_adjv2",-0.238993741236483,-0.904809944168397,0.428436993784616,0.9,"mercury.t1.res","log2x"
"riid_nodith",-0.5,-0.955962332196363,1.28972377049651,0.1,"arsenic.t1.res","binary_x"
"xy_nodith",-0.5,-1.58920201458999,0.589202014589992,0.1,"arsenic.t1.res","binary_x"
"riid_dith",-0.316151650234436,-1.14616310329513,1.15348371910824,0.1,"arsenic.t1.res","binary_x"
"xy_dith",-0.316151650234436,-1.40524422259423,0.772940922125361,0.1,"arsenic.t1.res","binary_x"
"bayes_unadj",-0.123786530222137,-0.924841660444842,0.660107710702542,0.1,"arsenic.t1.res","binary_x"
"bayes_adjv2",-0.123786530222137,-1.34208539807795,1.09912535367915,0.1,"arsenic.t1.res","binary_x"
"riid_nodith",0.250000000000001,-1.01930911831668,1.51287274554447,0.5,"arsenic.t1.res","binary_x"
"xy_nodith",0.250000000000001,-0.838534437435656,1.33853443743566,0.5,"arsenic.t1.res","binary_x"
"riid_dith",0.496217781910673,-1.03607167937449,1.22047871289127,0.5,"arsenic.t1.res","binary_x"
"xy_dith",0.496217781910673,-0.598431351951133,1.59086691577248,0.5,"arsenic.t1.res","binary_x"
"bayes_unadj",0.280445903531581,-0.301254664533732,0.863678488992735,0.5,"arsenic.t1.res","binary_x"
"bayes_adjv2",0.280445903531581,-0.780065811349743,1.33864840596513,0.5,"arsenic.t1.res","binary_x"
"riid_nodith",-0.666666666666666,-2.5084114440415,0.987805352858162,0.9,"arsenic.t1.res","binary_x"
"xy_nodith",-0.666666666666666,-2.75026855397837,1.41693522064504,0.9,"arsenic.t1.res","binary_x"
"riid_dith",-0.672915883362294,-2.48277810257967,1.24806993341997,0.9,"arsenic.t1.res","binary_x"
"xy_dith",-0.672915883362294,-2.71318519500779,1.3673534282832,0.9,"arsenic.t1.res","binary_x"
"bayes_unadj",-0.775267662137995,-1.77081571024601,0.273137508909798,0.9,"arsenic.t1.res","binary_x"
"bayes_adjv2",-0.775267662137995,-2.8258583950737,1.27467484740403,0.9,"arsenic.t1.res","binary_x"
"riid_nodith",-0.999999999999999,-0.999999999999999,0.66457687596038,0.1,"cadmium.t1.res","binary_x"
"xy_nodith",-0.999999999999999,-2.06744310767236,0.0674431076723635,0.1,"cadmium.t1.res","binary_x"
"riid_dith",-0.156616788357496,-1.13199926009263,0.88874870352219,0.1,"cadmium.t1.res","binary_x"
